
================================================================================
Inspecting Model: mediq_skin_screening_densenet121.onnx
================================================================================
Node Name                                                    | Op Type         | Output Tensor
functional_1/conv3_block8_1_relu_1/Relu                      | Relu            | functional_1/conv3_block8_1_relu_1/Relu:0
functional_1/conv3_block8_2_conv_1/convolution               | Conv            | functional_1/conv3_block8_2_conv_1/convolution:0
functional_1/conv3_block8_concat_1/concat                    | Concat          | functional_1/conv3_block8_concat_1/concat:0
functional_1/conv3_block9_0_bn_1/batchnorm/mul_1             | Mul             | functional_1/conv3_block9_0_bn_1/batchnorm/mul_1:0
functional_1/conv3_block9_0_bn_1/batchnorm/add_1             | Add             | functional_1/conv3_block9_0_bn_1/batchnorm/add_1:0
functional_1/conv3_block9_0_relu_1/Relu                      | Relu            | functional_1/conv3_block9_0_relu_1/Relu:0
Conv__649                                                    | Conv            | Conv__649:0
functional_1/conv3_block9_1_relu_1/Relu                      | Relu            | functional_1/conv3_block9_1_relu_1/Relu:0
functional_1/conv3_block9_2_conv_1/convolution               | Conv            | functional_1/conv3_block9_2_conv_1/convolution:0
functional_1/conv3_block9_concat_1/concat                    | Concat          | functional_1/conv3_block9_concat_1/concat:0
functional_1/conv3_block10_0_bn_1/batchnorm/mul_1            | Mul             | functional_1/conv3_block10_0_bn_1/batchnorm/mul_1:0
functional_1/conv3_block10_0_bn_1/batchnorm/add_1            | Add             | functional_1/conv3_block10_0_bn_1/batchnorm/add_1:0
functional_1/conv3_block10_0_relu_1/Relu                     | Relu            | functional_1/conv3_block10_0_relu_1/Relu:0
Conv__659                                                    | Conv            | Conv__659:0
functional_1/conv3_block10_1_relu_1/Relu                     | Relu            | functional_1/conv3_block10_1_relu_1/Relu:0
functional_1/conv3_block10_2_conv_1/convolution              | Conv            | functional_1/conv3_block10_2_conv_1/convolution:0
functional_1/conv3_block10_concat_1/concat                   | Concat          | functional_1/conv3_block10_concat_1/concat:0
functional_1/conv3_block11_0_bn_1/batchnorm/mul_1            | Mul             | functional_1/conv3_block11_0_bn_1/batchnorm/mul_1:0
functional_1/conv3_block11_0_bn_1/batchnorm/add_1            | Add             | functional_1/conv3_block11_0_bn_1/batchnorm/add_1:0
functional_1/conv3_block11_0_relu_1/Relu                     | Relu            | functional_1/conv3_block11_0_relu_1/Relu:0
Conv__669                                                    | Conv            | Conv__669:0
functional_1/conv3_block11_1_relu_1/Relu                     | Relu            | functional_1/conv3_block11_1_relu_1/Relu:0
functional_1/conv3_block11_2_conv_1/convolution              | Conv            | functional_1/conv3_block11_2_conv_1/convolution:0
functional_1/conv3_block11_concat_1/concat                   | Concat          | functional_1/conv3_block11_concat_1/concat:0
functional_1/conv3_block12_0_bn_1/batchnorm/mul_1            | Mul             | functional_1/conv3_block12_0_bn_1/batchnorm/mul_1:0
functional_1/conv3_block12_0_bn_1/batchnorm/add_1            | Add             | functional_1/conv3_block12_0_bn_1/batchnorm/add_1:0
functional_1/conv3_block12_0_relu_1/Relu                     | Relu            | functional_1/conv3_block12_0_relu_1/Relu:0
Conv__679                                                    | Conv            | Conv__679:0
functional_1/conv3_block12_1_relu_1/Relu                     | Relu            | functional_1/conv3_block12_1_relu_1/Relu:0
functional_1/conv3_block12_2_conv_1/convolution              | Conv            | functional_1/conv3_block12_2_conv_1/convolution:0
functional_1/conv3_block12_concat_1/concat                   | Concat          | functional_1/conv3_block12_concat_1/concat:0
functional_1/pool3_bn_1/batchnorm/mul_1                      | Mul             | functional_1/pool3_bn_1/batchnorm/mul_1:0
functional_1/pool3_bn_1/batchnorm/add_1                      | Add             | functional_1/pool3_bn_1/batchnorm/add_1:0
functional_1/pool3_relu_1/Relu                               | Relu            | functional_1/pool3_relu_1/Relu:0
functional_1/pool3_conv_1/convolution                        | Conv            | functional_1/pool3_conv_1/convolution:0
functional_1/pool3_pool_1/AvgPool                            | AveragePool     | functional_1/pool3_pool_1/AvgPool:0
functional_1/conv4_block1_0_bn_1/batchnorm/mul_1             | Mul             | functional_1/conv4_block1_0_bn_1/batchnorm/mul_1:0
functional_1/conv4_block1_0_bn_1/batchnorm/add_1             | Add             | functional_1/conv4_block1_0_bn_1/batchnorm/add_1:0
functional_1/conv4_block1_0_relu_1/Relu                      | Relu            | functional_1/conv4_block1_0_relu_1/Relu:0
Conv__689                                                    | Conv            | Conv__689:0
functional_1/conv4_block1_1_relu_1/Relu                      | Relu            | functional_1/conv4_block1_1_relu_1/Relu:0
functional_1/conv4_block1_2_conv_1/convolution               | Conv            | functional_1/conv4_block1_2_conv_1/convolution:0
functional_1/conv4_block1_concat_1/concat                    | Concat          | functional_1/conv4_block1_concat_1/concat:0
functional_1/conv4_block2_0_bn_1/batchnorm/mul_1             | Mul             | functional_1/conv4_block2_0_bn_1/batchnorm/mul_1:0
functional_1/conv4_block2_0_bn_1/batchnorm/add_1             | Add             | functional_1/conv4_block2_0_bn_1/batchnorm/add_1:0
functional_1/conv4_block2_0_relu_1/Relu                      | Relu            | functional_1/conv4_block2_0_relu_1/Relu:0
Conv__699                                                    | Conv            | Conv__699:0
functional_1/conv4_block2_1_relu_1/Relu                      | Relu            | functional_1/conv4_block2_1_relu_1/Relu:0
functional_1/conv4_block2_2_conv_1/convolution               | Conv            | functional_1/conv4_block2_2_conv_1/convolution:0
functional_1/conv4_block2_concat_1/concat                    | Concat          | functional_1/conv4_block2_concat_1/concat:0
functional_1/conv4_block3_0_bn_1/batchnorm/mul_1             | Mul             | functional_1/conv4_block3_0_bn_1/batchnorm/mul_1:0
functional_1/conv4_block3_0_bn_1/batchnorm/add_1             | Add             | functional_1/conv4_block3_0_bn_1/batchnorm/add_1:0
functional_1/conv4_block3_0_relu_1/Relu                      | Relu            | functional_1/conv4_block3_0_relu_1/Relu:0
Conv__709                                                    | Conv            | Conv__709:0
functional_1/conv4_block3_1_relu_1/Relu                      | Relu            | functional_1/conv4_block3_1_relu_1/Relu:0
functional_1/conv4_block3_2_conv_1/convolution               | Conv            | functional_1/conv4_block3_2_conv_1/convolution:0
functional_1/conv4_block3_concat_1/concat                    | Concat          | functional_1/conv4_block3_concat_1/concat:0
functional_1/conv4_block4_0_bn_1/batchnorm/mul_1             | Mul             | functional_1/conv4_block4_0_bn_1/batchnorm/mul_1:0
functional_1/conv4_block4_0_bn_1/batchnorm/add_1             | Add             | functional_1/conv4_block4_0_bn_1/batchnorm/add_1:0
functional_1/conv4_block4_0_relu_1/Relu                      | Relu            | functional_1/conv4_block4_0_relu_1/Relu:0
Conv__719                                                    | Conv            | Conv__719:0
functional_1/conv4_block4_1_relu_1/Relu                      | Relu            | functional_1/conv4_block4_1_relu_1/Relu:0
functional_1/conv4_block4_2_conv_1/convolution               | Conv            | functional_1/conv4_block4_2_conv_1/convolution:0
functional_1/conv4_block4_concat_1/concat                    | Concat          | functional_1/conv4_block4_concat_1/concat:0
functional_1/conv4_block5_0_bn_1/batchnorm/mul_1             | Mul             | functional_1/conv4_block5_0_bn_1/batchnorm/mul_1:0
functional_1/conv4_block5_0_bn_1/batchnorm/add_1             | Add             | functional_1/conv4_block5_0_bn_1/batchnorm/add_1:0
functional_1/conv4_block5_0_relu_1/Relu                      | Relu            | functional_1/conv4_block5_0_relu_1/Relu:0
Conv__729                                                    | Conv            | Conv__729:0
functional_1/conv4_block5_1_relu_1/Relu                      | Relu            | functional_1/conv4_block5_1_relu_1/Relu:0
functional_1/conv4_block5_2_conv_1/convolution               | Conv            | functional_1/conv4_block5_2_conv_1/convolution:0
functional_1/conv4_block5_concat_1/concat                    | Concat          | functional_1/conv4_block5_concat_1/concat:0
functional_1/conv4_block6_0_bn_1/batchnorm/mul_1             | Mul             | functional_1/conv4_block6_0_bn_1/batchnorm/mul_1:0
functional_1/conv4_block6_0_bn_1/batchnorm/add_1             | Add             | functional_1/conv4_block6_0_bn_1/batchnorm/add_1:0
functional_1/conv4_block6_0_relu_1/Relu                      | Relu            | functional_1/conv4_block6_0_relu_1/Relu:0
Conv__739                                                    | Conv            | Conv__739:0
functional_1/conv4_block6_1_relu_1/Relu                      | Relu            | functional_1/conv4_block6_1_relu_1/Relu:0
functional_1/conv4_block6_2_conv_1/convolution               | Conv            | functional_1/conv4_block6_2_conv_1/convolution:0
functional_1/conv4_block6_concat_1/concat                    | Concat          | functional_1/conv4_block6_concat_1/concat:0
functional_1/conv4_block7_0_bn_1/batchnorm/mul_1             | Mul             | functional_1/conv4_block7_0_bn_1/batchnorm/mul_1:0
functional_1/conv4_block7_0_bn_1/batchnorm/add_1             | Add             | functional_1/conv4_block7_0_bn_1/batchnorm/add_1:0
functional_1/conv4_block7_0_relu_1/Relu                      | Relu            | functional_1/conv4_block7_0_relu_1/Relu:0
Conv__749                                                    | Conv            | Conv__749:0
functional_1/conv4_block7_1_relu_1/Relu                      | Relu            | functional_1/conv4_block7_1_relu_1/Relu:0
functional_1/conv4_block7_2_conv_1/convolution               | Conv            | functional_1/conv4_block7_2_conv_1/convolution:0
functional_1/conv4_block7_concat_1/concat                    | Concat          | functional_1/conv4_block7_concat_1/concat:0
functional_1/conv4_block8_0_bn_1/batchnorm/mul_1             | Mul             | functional_1/conv4_block8_0_bn_1/batchnorm/mul_1:0
functional_1/conv4_block8_0_bn_1/batchnorm/add_1             | Add             | functional_1/conv4_block8_0_bn_1/batchnorm/add_1:0
functional_1/conv4_block8_0_relu_1/Relu                      | Relu            | functional_1/conv4_block8_0_relu_1/Relu:0
Conv__759                                                    | Conv            | Conv__759:0
functional_1/conv4_block8_1_relu_1/Relu                      | Relu            | functional_1/conv4_block8_1_relu_1/Relu:0
functional_1/conv4_block8_2_conv_1/convolution               | Conv            | functional_1/conv4_block8_2_conv_1/convolution:0
functional_1/conv4_block8_concat_1/concat                    | Concat          | functional_1/conv4_block8_concat_1/concat:0
functional_1/conv4_block9_0_bn_1/batchnorm/mul_1             | Mul             | functional_1/conv4_block9_0_bn_1/batchnorm/mul_1:0
functional_1/conv4_block9_0_bn_1/batchnorm/add_1             | Add             | functional_1/conv4_block9_0_bn_1/batchnorm/add_1:0
functional_1/conv4_block9_0_relu_1/Relu                      | Relu            | functional_1/conv4_block9_0_relu_1/Relu:0
Conv__769                                                    | Conv            | Conv__769:0
functional_1/conv4_block9_1_relu_1/Relu                      | Relu            | functional_1/conv4_block9_1_relu_1/Relu:0
functional_1/conv4_block9_2_conv_1/convolution               | Conv            | functional_1/conv4_block9_2_conv_1/convolution:0
functional_1/conv4_block9_concat_1/concat                    | Concat          | functional_1/conv4_block9_concat_1/concat:0
functional_1/conv4_block10_0_bn_1/batchnorm/mul_1            | Mul             | functional_1/conv4_block10_0_bn_1/batchnorm/mul_1:0
functional_1/conv4_block10_0_bn_1/batchnorm/add_1            | Add             | functional_1/conv4_block10_0_bn_1/batchnorm/add_1:0
functional_1/conv4_block10_0_relu_1/Relu                     | Relu            | functional_1/conv4_block10_0_relu_1/Relu:0
Conv__779                                                    | Conv            | Conv__779:0
functional_1/conv4_block10_1_relu_1/Relu                     | Relu            | functional_1/conv4_block10_1_relu_1/Relu:0
functional_1/conv4_block10_2_conv_1/convolution              | Conv            | functional_1/conv4_block10_2_conv_1/convolution:0
functional_1/conv4_block10_concat_1/concat                   | Concat          | functional_1/conv4_block10_concat_1/concat:0
